"Player","Pos","Class","School","Conference","Season","Total"
"Julian Jackson","DL","SR","Ball State","MAC",2015,1.3133
"DaQuan Baker","LB","SR","New Mexico","Mountain West",2018,1.3132
"Zach Colvin","DL","FR","Bowling Green","MAC",2011,1.3131
"Durell Nchami","LB","FR","Maryland","Big Ten",2018,1.3127
"Elijah-Blu Smith","DB","SR","Colorado State","Mountain West",2011,1.3126
"Foloi Vae","DL","SO","San Jose State","WAC",2012,1.3125
"Dante Blackmon","DB","SO","Appalachian State","Sun Belt",2014,1.3125
"Kwazel Bertrand","DB","SR","Navy","American",2015,1.3122
"Connor Cree","DL","SO","Washington","Pac-12",2013,1.312
"Jonathan Hood","LB","SR","New Mexico State","Independent",2018,1.3118
"Austin Perkins","DB","JR","New Mexico State","Independent",2018,1.3118
"Christopher Allen","LB","SO","Alabama","SEC",2019,1.3118
"Lashawn Paulino-Bell","LB","SO","Vanderbilt","SEC",2019,1.3118
"Trevor Ishmael","DB","FR","Western Michigan","MAC",2011,1.3117
"Jovan Santos-Knox","LB","FR","Massachusetts","MAC",2012,1.3117
"Braxton Welford","RB","JR","Houston","CUSA",2011,1.3116
"Malik Dorton","DL","SO","USC","Pac-12",2016,1.3114
"Sean Daniels","LB","JR","Temple","Big East",2012,1.3113
"Floyd Simmons","DB","JR","Michigan","Big Ten",2011,1.3112
"Dalvin Hutchinson","DL","FR","Louisiana","Sun Belt",2019,1.3111
"Jeffrey Whitaker","DL","JR","Auburn","SEC",2012,1.3109
"Ariel Ngata","LB","FR","Washington","Pac-12",2018,1.3109
"Hans Louis","LB","JR","USF","American",2013,1.3108
"Christian Davis","DB","SO","SMU","American",2017,1.3107
